file,original_resolution,output_256,output_512,status
072_parrots-3427188_640.jpg,640x427,./output\input_raster_256x256\072_parrots-3427188_640_256.png,./output\input_raster_512x512\072_parrots-3427188_640_512.png,success
080_victoria-crowned-pigeon-4486154_640.jpg,457x640,./output\input_raster_256x256\080_victoria-crowned-pigeon-4486154_640_256.png,./output\input_raster_512x512\080_victoria-crowned-pigeon-4486154_640_512.png,success
081_eagle-2045655_640.jpg,545x640,./output\input_raster_256x256\081_eagle-2045655_640_256.png,./output\input_raster_512x512\081_eagle-2045655_640_512.png,success
076_duckling-3524213_640.jpg,640x427,./output\input_raster_256x256\076_duckling-3524213_640_256.png,./output\input_raster_512x512\076_duckling-3524213_640_512.png,success
082_kingfisher-1850226_640.jpg,640x457,./output\input_raster_256x256\082_kingfisher-1850226_640_256.png,./output\input_raster_512x512\082_kingfisher-1850226_640_512.png,success
089_robin-8446944_640.jpg,640x426,./output\input_raster_256x256\089_robin-8446944_640_256.png,./output\input_raster_512x512\089_robin-8446944_640_512.png,success
092_peafowl-2363750_640.jpg,640x424,./output\input_raster_256x256\092_peafowl-2363750_640_256.png,./output\input_raster_512x512\092_peafowl-2363750_640_512.png,success
085_gulls-370012_640.jpg,640x425,./output\input_raster_256x256\085_gulls-370012_640_256.png,./output\input_raster_512x512\085_gulls-370012_640_512.png,success
090_bird-3183441_640.jpg,640x427,./output\input_raster_256x256\090_bird-3183441_640_256.png,./output\input_raster_512x512\090_bird-3183441_640_512.png,success
087_owl-3649048_640.jpg,640x427,./output\input_raster_256x256\087_owl-3649048_640_256.png,./output\input_raster_512x512\087_owl-3649048_640_512.png,success
083_hummingbird-5111260_640.jpg,520x640,./output\input_raster_256x256\083_hummingbird-5111260_640_256.png,./output\input_raster_512x512\083_hummingbird-5111260_640_512.png,success
106_bird-3732867_1280.jpg,1280x852,./output\input_raster_256x256\106_bird-3732867_1280_256.png,./output\input_raster_512x512\106_bird-3732867_1280_512.png,success
098_dove-2516641_1280.jpg,1280x710,./output\input_raster_256x256\098_dove-2516641_1280_256.png,./output\input_raster_512x512\098_dove-2516641_1280_512.png,success
105_bird-349026_1280.jpg,1280x853,./output\input_raster_256x256\105_bird-349026_1280_256.png,./output\input_raster_512x512\105_bird-349026_1280_512.png,success
104_kingfisher-1068684_1280.jpg,1280x1280,./output\input_raster_256x256\104_kingfisher-1068684_1280_256.png,./output\input_raster_512x512\104_kingfisher-1068684_1280_512.png,success
091_birds-4551002_640.jpg,640x427,./output\input_raster_256x256\091_birds-4551002_640_256.png,./output\input_raster_512x512\091_birds-4551002_640_512.png,success
101_kingfisher-881594_1280.jpg,1280x720,./output\input_raster_256x256\101_kingfisher-881594_1280_256.png,./output\input_raster_512x512\101_kingfisher-881594_1280_512.png,success
